  x,y,z,rho,u,v,w,p
     3.559320,      0.549844,      0.000000,      1.040642,    157.704453,     33.149273,      0.000000,  85796.445312
     3.728810,      0.597221,      0.000000,      1.027894,    165.236633,     38.564205,      0.000000,  84331.250000
     3.898310,      0.650720,      0.000000,      1.011531,    175.137131,     42.449345,      0.000000,  82461.046875
     4.067800,      0.706585,      0.000000,      0.991734,    187.085892,     44.242382,      0.000000,  80213.968750
     4.237290,      0.760876,      0.000000,      0.969453,    200.430817,     43.381161,      0.000000,  77706.304688
     4.406780,      0.809760,      0.000000,      0.946071,    214.258286,     39.400738,      0.000000,  75099.859375
     4.576270,      0.849802,      0.000000,      0.923547,    227.331543,     32.070461,      0.000000,  72615.304688
     4.745760,      0.878173,      0.000000,      0.904628,    238.032898,     21.498823,      0.000000,  70544.335938
     4.915250,      0.892876,      0.000000,      0.892889,    244.413223,      8.288110,      0.000000,  69264.257812
     5.084750,      0.892876,      0.000000,      0.891563,    244.809052,     -6.154242,      0.000000,  69122.726562
     5.254240,      0.878173,      0.000000,      0.901255,    239.065384,    -19.793308,      0.000000,  70185.742188
     5.423730,      0.849802,      0.000000,      0.919142,    228.720718,    -30.908321,      0.000000,  72154.062500
     5.593220,      0.809760,      0.000000,      0.941366,    215.785706,    -38.675598,      0.000000,  74618.289062
     5.762710,      0.760876,      0.000000,      0.964652,    201.950272,    -42.944080,      0.000000,  77225.414062
     5.932200,      0.706585,      0.000000,      0.986830,    188.497650,    -43.969112,      0.000000,  79734.164062
     6.101700,      0.650720,      0.000000,      1.006614,    176.318314,    -42.244083,      0.000000,  81994.039062
     6.271190,      0.597221,      0.000000,      1.023160,    166.095291,    -38.387943,      0.000000,  83899.953125
     6.440680,      0.549844,      0.000000,      1.035908,    158.259827,    -33.054382,      0.000000,  85378.664062
     6.610170,      0.511933,      0.000000,      1.044623,    153.056091,    -26.893242,      0.000000,  86394.750000
     6.779660,      0.486164,      0.000000,      1.049476,    150.567032,    -20.674604,      0.000000,  86962.554688
